date,province1_pos,province1_dis,province2_pos,province2_dis,bagmati_province_pos,bagmati_province_dis,gandaki_province_pos,gandaki_province_dis,province5_pos,province5_dis,karnali_province_pos,karnali_province_dis,sudurpaschim_province_pos,sudurpaschim_province_dis,total_positive,total_discharged
28-01-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29-01-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30-01-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31-01-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
01-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
02-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
04-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
05-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
06-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
07-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
09-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
25-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
26-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
27-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
28-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
01-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
02-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
03-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
04-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
06-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
10-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
11-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
12-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
13-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
15-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
16-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
17-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
18-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
19-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
20-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
22-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
23-03-2020,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1
24-03-2020,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1
25-03-2020,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1
26-03-2020,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1
27-03-2020,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1
28-03-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
29-03-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
30-03-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
31-03-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
01-04-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
02-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,1,0,6,1
03-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,1,0,6,1
04-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
05-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
06-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
07-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
08-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
09-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
10-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
11-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
12-04-2020,0,0,3,0,3,1,2,0,0,0,0,0,4,0,12,1
13-04-2020,0,0,4,0,3,1,2,0,0,0,0,0,5,0,14,1
14-04-2020,0,0,4,0,5,1,2,0,0,0,0,0,5,0,16,1
15-04-2020,0,0,4,0,5,1,2,0,0,0,0,0,5,0,16,1
16-04-2020,0,0,4,0,5,1,2,0,0,0,0,0,5,0,16,1
17-04-2020,0,0,4,0,5,1,2,0,0,0,0,0,5,0,16,1
18-04-2020,12,0,4,0,7,2,2,0,0,0,0,0,5,0,30,2
19-04-2020,13,0,4,0,7,3,2,0,0,0,0,0,5,1,31,4
20-04-2020,13,0,4,0,7,3,2,0,0,0,0,0,5,1,31,4
21-04-2020,14,0,4,0,7,3,2,0,0,0,0,0,5,1,32,4
22-04-2020,27,0,4,0,7,4,2,0,0,0,0,0,5,3,45,7
23-04-2020,28,0,5,0,7,6,2,0,0,0,0,0,5,3,47,9
24-04-2020,29,0,5,0,7,6,2,0,0,0,0,0,5,4,48,10
25-04-2020,30,0,5,0,7,6,2,2,0,0,0,0,5,4,49,12
26-04-2020,30,0,7,4,7,6,2,2,0,0,0,0,5,4,51,16
27-04-2020,31,0,7,4,7,6,2,2,0,0,0,0,5,4,52,16
28-04-2020,31,0,9,4,7,6,2,2,0,0,0,0,5,4,54,16
29-04-2020,31,0,12,4,7,6,2,2,0,0,0,0,5,4,57,16
30-04-2020,31,0,12,4,7,6,2,2,0,0,0,0,5,4,57,16
01-05-2020,31,0,12,4,7,6,2,2,2,0,0,0,5,4,59,16
02-05-2020,31,0,12,4,7,6,2,2,2,0,0,0,5,4,59,16
03-05-2020,31,0,13,4,7,6,2,2,11,0,0,0,5,4,69,16
04-05-2020,31,0,13,4,7,6,2,2,17,0,0,0,5,4,75,16
05-05-2020,31,0,13,4,7,6,2,2,24,0,0,0,5,4,82,16
06-05-2020,31,6,30,4,7,6,2,2,24,0,0,0,5,4,99,22
07-05-2020,31,6,30,4,7,6,2,2,24,0,0,0,5,4,99,22
08-05-2020,31,14,30,4,7,6,2,2,27,0,0,0,5,4,102,30
09-05-2020,34,14,31,4,7,6,2,2,27,0,0,0,5,5,106,31
10-05-2020,35,14,31,4,7,6,2,2,30,0,0,0,5,5,110,31
11-05-2020,35,16,32,4,7,6,2,2,40,0,0,0,5,5,121,33
12-05-2020,35,16,72,4,7,6,2,2,70,0,0,0,5,5,191,33
13-05-2020,35,16,95,5,10,6,2,2,72,1,0,0,5,5,219,35
14-05-2020,35,16,99,5,10,6,2,2,95,1,0,0,5,5,246,35
15-05-2020,35,17,100,5,14,6,3,2,101,1,0,0,5,5,258,36
16-05-2020,36,17,109,5,16,6,3,2,109,1,0,0,5,5,278,36
17-05-2020,36,17,121,5,17,6,3,2,110,1,0,0,5,5,292,36
18-05-2020,40,17,132,5,18,6,3,2,159,1,0,0,5,5,357,36
19-05-2020,54,18,136,5,26,6,4,2,176,1,1,0,5,5,402,37
20-05-2020,59,26,136,5,26,6,4,2,196,1,1,0,5,5,427,45
21-05-2020,84,26,136,6,26,9,4,2,198,1,1,0,5,5,454,49
22-05-2020,85,26,151,6,28,9,5,2,227,22,1,0,10,5,507,70
23-05-2020,86,26,172,6,32,9,5,2,271,22,4,0,14,5,584,70
24-05-2020,86,26,179,13,34,9,5,2,281,32,4,0,14,5,603,87
25-05-2020,86,26,235,33,38,11,5,2,292,35,11,0,15,5,682,112
26-05-2020,86,26,268,76,38,11,7,2,331,35,25,0,17,5,772,155
27-05-2020,103,30,324,97,39,11,13,2,365,38,25,0,17,5,886,183
28-05-2020,129,30,415,101,44,11,17,2,369,38,47,0,21,5,1042,187
29-05-2020,157,30,490,102,44,20,20,2,433,47,47,0,21,5,1212,206
30-05-2020,160,30,547,104,45,28,20,3,547,48,61,0,21,6,1401,219
31-05-2020,165,30,624,104,45,29,23,3,565,48,123,0,27,6,1572,220
01-06-2020,168,30,694,104,46,29,26,3,621,48,198,0,45,7,1798,221
02-06-2020,168,48,816,104,54,30,37,3,699,74,252,0,73,7,2099,266
03-06-2020,186,48,860,110,58,31,37,3,812,79,269,0,78,7,2300,278
04-06-2020,197,48,963,119,59,32,53,3,898,79,383,2,81,7,2634,290
05-06-2020,242,76,993,121,85,32,57,3,965,92,479,2,91,7,2912,333
06-06-2020,249,79,1077,133,90,32,73,3,1061,96,579,9,106,13,3235,365